File name, Name image, cell number, cluster number, cluster size um2, cluster density um-2
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 16, 0.0363, 439.5971
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 17, 0.0121, 470.5724
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 18, 0.0121, 464.9241
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 19, 0.0121, 452.3951
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 20, 0.0121, 494.3122
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 21, 0.0121, 482.7572
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 22, 0.0121, 454.5824
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 23, 0.2178, 595.6054
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 24, 0.121, 497.0571
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 25, 0.0121, 457.5038
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 26, 0.484, 637.3242
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 27, 0.0968, 556.7562
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 28, 0.0363, 493.9958
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 29, 0.7865, 627.6769
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 30, 0.0968, 511.9095
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 31, 0.0363, 489.9071
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 32, 0.0121, 476.3631
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 33, 0.0121, 475.9024
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 34, 0.0121, 561.1824
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 35, 0.0121, 590.0791
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 36, 0.1089, 513.5578
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 37, 0.0121, 488.055
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 38, 0.0121, 433.2624
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 39, 0.0363, 487.9525
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 40, 0.0484, 501.7065
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 41, 0.1694, 502.7317
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 42, 0.121, 482.1896
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 43, 0.0363, 475.1792
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 44, 0.0363, 448.8162
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 45, 0.2541, 558.7233
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 46, 0.2178, 530.46
C:\Users\omikhajl\Documents\WORKFLOW\2021\10_OCTOBER\WEEK_2510\25102021\mef_b1HT\slb18_inv_Mn_plus\flask2\45-1h\adherent\17\max_17.tif, max_17.tif, Cell_1, 47, 0.0726, 512.4314
